age,survivors_lx,deaths_dx,mortality_rate_qx,central_death_rate_mx,survival_probability_px,person_years_lived_Lx,total_future_years_Tx,life_expectancy_ex,std_error_life_expectancy,sex
0,100000,489,0.00489,0.00031,0.99511,99551,8010812,80.11,0.07,male
1,99511,26,0.00026,7e-05,0.99974,99500,7911262,79.5,0.06,male
2,99485,18,0.00019,6e-05,0.99981,99473,7811762,78.52,0.06,male
3,99467,14,0.00014,5e-05,0.99986,99459,7712289,77.54,0.06,male
4,99453,11,0.00011,5e-05,0.99989,99446,7612829,76.55,0.06,male
5,99442,9,9e-05,4e-05,0.99991,99438,7513383,75.56,0.06,male
6,99433,8,8e-05,4e-05,0.99992,99429,7413946,74.56,0.06,male
7,99425,7,7e-05,4e-05,0.99993,99421,7314517,73.57,0.06,male
8,99418,7,7e-05,4e-05,0.99993,99414,7215095,72.57,0.06,male
9,99410,7,7e-05,4e-05,0.99993,99407,7115681,71.58,0.06,male
10,99403,8,8e-05,4e-05,0.99992,99399,7016274,70.58,0.06,male
11,99395,9,9e-05,4e-05,0.99991,99391,6916875,69.59,0.06,male
12,99386,11,0.00011,4e-05,0.99989,99381,6817484,68.6,0.06,male
13,99376,13,0.00013,5e-05,0.99987,99369,6718103,67.6,0.06,male
14,99362,17,0.00018,6e-05,0.99982,99354,6618734,66.61,0.06,male
15,99345,24,0.00024,7e-05,0.99976,99333,6519381,65.62,0.06,male
16,99321,33,0.00033,8e-05,0.99967,99304,6420048,64.64,0.06,male
17,99288,42,0.00043,9e-05,0.99957,99267,6320743,63.66,0.06,male
18,99246,50,0.00051,9e-05,0.99949,99220,6221477,62.69,0.06,male
19,99195,57,0.00058,0.0001,0.99942,99167,6122256,61.72,0.06,male
20,99138,64,0.00065,0.0001,0.99935,99106,6023090,60.75,0.06,male
21,99074,70,0.00071,0.0001,0.99929,99039,5923984,59.79,0.06,male
22,99003,76,0.00076,0.00011,0.99924,98966,5824945,58.84,0.06,male
23,98928,80,0.00081,0.00011,0.99919,98888,5725980,57.88,0.06,male
24,98848,82,0.00083,0.00011,0.99917,98807,5627092,56.93,0.06,male
25,98766,84,0.00086,0.00011,0.99914,98723,5528285,55.97,0.06,male
26,98681,87,0.00088,0.00011,0.99912,98638,5429561,55.02,0.06,male
27,98594,89,0.00091,0.00011,0.99909,98550,5330924,54.07,0.06,male
28,98505,92,0.00094,0.00011,0.99906,98459,5232374,53.12,0.06,male
29,98413,95,0.00097,0.00012,0.99903,98365,5133915,52.17,0.06,male
30,98318,99,0.00101,0.00012,0.99899,98268,5035550,51.22,0.05,male
31,98219,102,0.00104,0.00012,0.99896,98168,4937282,50.27,0.05,male
32,98116,106,0.00108,0.00013,0.99892,98064,4839114,49.32,0.05,male
33,98011,108,0.00111,0.00013,0.99889,97957,4741050,48.37,0.05,male
34,97902,111,0.00113,0.00013,0.99887,97847,4643094,47.43,0.05,male
35,97791,113,0.00116,0.00013,0.99884,97735,4545247,46.48,0.05,male
36,97678,116,0.00118,0.00013,0.99882,97620,4447512,45.53,0.05,male
37,97563,119,0.00122,0.00013,0.99878,97503,4349892,44.59,0.05,male
38,97444,124,0.00127,0.00014,0.99873,97382,4252389,43.64,0.05,male
39,97320,129,0.00133,0.00014,0.99867,97255,4155007,42.69,0.05,male
40,97191,137,0.00141,0.00015,0.99859,97122,4057752,41.75,0.05,male
41,97054,145,0.00149,0.00015,0.99851,96982,3960629,40.81,0.05,male
42,96909,154,0.00159,0.00016,0.99841,96832,3863648,39.87,0.05,male
43,96755,164,0.0017,0.00017,0.9983,96673,3766815,38.93,0.05,male
44,96591,176,0.00182,0.00017,0.99818,96503,3670142,38,0.05,male
45,96415,188,0.00195,0.00018,0.99805,96321,3573639,37.07,0.05,male
46,96227,202,0.0021,0.00019,0.9979,96126,3477318,36.14,0.05,male
47,96026,217,0.00226,0.00019,0.99774,95917,3381192,35.21,0.05,male
48,95809,234,0.00244,0.0002,0.99756,95692,3285275,34.29,0.05,male
49,95575,253,0.00264,0.0002,0.99736,95448,3189583,33.37,0.05,male
50,95322,273,0.00287,0.00021,0.99713,95185,3094135,32.46,0.05,male
51,95049,296,0.00312,0.00022,0.99688,94900,2998949,31.55,0.05,male
52,94752,321,0.00339,0.00023,0.99661,94592,2904049,30.65,0.05,male
53,94431,349,0.00369,0.00024,0.99631,94256,2809457,29.75,0.05,male
54,94082,379,0.00402,0.00024,0.99598,93893,2715201,28.86,0.05,male
55,93703,411,0.00439,0.00025,0.99561,93498,2621308,27.97,0.05,male
56,93292,447,0.00479,0.00026,0.99521,93069,2527810,27.1,0.05,male
57,92846,485,0.00523,0.00027,0.99477,92603,2434741,26.22,0.05,male
58,92360,527,0.00571,0.00028,0.99429,92097,2342138,25.36,0.05,male
59,91833,573,0.00624,0.0003,0.99376,91546,2250041,24.5,0.05,male
60,91260,624,0.00683,0.00032,0.99317,90948,2158495,23.65,0.05,male
61,90636,678,0.00748,0.00033,0.99252,90297,2067547,22.81,0.05,male
62,89958,738,0.0082,0.00035,0.9918,89589,1977251,21.98,0.05,male
63,89220,802,0.00899,0.00038,0.99101,88819,1887662,21.16,0.05,male
64,88417,873,0.00987,0.0004,0.99013,87981,1798843,20.34,0.04,male
65,87545,949,0.01084,0.00043,0.98916,87070,1710862,19.54,0.04,male
66,86596,1032,0.01192,0.00046,0.98808,86080,1623792,18.75,0.04,male
67,85564,1121,0.01311,0.0005,0.98689,85003,1537712,17.97,0.04,male
68,84442,1218,0.01443,0.00053,0.98557,83833,1452709,17.2,0.04,male
69,83224,1322,0.01589,0.00056,0.98411,82563,1368875,16.45,0.04,male
70,81902,1435,0.01752,0.0006,0.98248,81185,1286312,15.71,0.04,male
71,80467,1555,0.01932,0.00063,0.98068,79690,1205128,14.98,0.04,male
72,78912,1683,0.02133,0.00067,0.97867,78071,1125438,14.26,0.04,male
73,77229,1820,0.02357,0.00077,0.97643,76319,1047368,13.56,0.04,male
74,75409,1965,0.02606,0.00085,0.97394,74426,971049,12.88,0.04,male
75,73444,2117,0.02883,0.00091,0.97117,72385,896622,12.21,0.04,male
76,71327,2277,0.03192,0.00099,0.96808,70189,824237,11.56,0.04,male
77,69050,2442,0.03537,0.0011,0.96463,67829,754048,10.92,0.04,male
78,66608,2612,0.03921,0.0012,0.96079,65302,686219,10.3,0.04,male
79,63996,2785,0.04351,0.00132,0.95649,62604,620917,9.7,0.04,male
80,61212,2958,0.04832,0.00145,0.95168,59733,558313,9.12,0.04,male
81,58254,3128,0.0537,0.00159,0.9463,56690,498580,8.56,0.04,male
82,55126,3292,0.05971,0.00176,0.94029,53480,441890,8.02,0.04,male
83,51834,3445,0.06646,0.00191,0.93354,50112,388410,7.49,0.04,male
